n,q,t,beta,seed,model,alpha,plateau,fitted_plateau,fitted_slope_len,delta,true_k,model_k,true_cost,model_cost,cost_error,bound_holds,true_d,model_d,seconds
320,13,240,40,9,GSA,0.7499999999999998,184,-1,-1,40.94761339953156,103,149,192.3865555363716,176.87402750638037,15.512528029991216,True,59,30,125.07
320,13,240,40,9,TGSA,0.7499999999999998,184,-1,-1,218.73929616559752,103,156,192.3865555363716,366.1555648262164,173.7690092898448,True,59,11,125.07
320,13,240,40,9,ZGSA,0.7499999999999998,184,195,90,13.044615349296762,103,105,192.3865555363716,188.65566411256606,3.730891423805531,True,59,59,125.07
320,13,240,40,6,GSA,0.74999999999979,180,-1,-1,41.72955841465763,101,149,193.710652877577,177.81776191252993,15.892890965047059,True,59,30,130.58
320,13,240,40,6,TGSA,0.74999999999979,180,-1,-1,218.73929616552545,101,156,193.710652877577,366.1555648262147,172.4449119486377,True,59,11,130.58
320,13,240,40,6,ZGSA,0.74999999999979,180,195,90,14.306858075999841,101,105,193.710652877577,188.65566411267696,5.054988764900031,True,59,59,130.58
320,13,240,40,8,GSA,0.7500000000000093,185,-1,-1,40.862692118602084,102,149,192.6553483006307,176.77153547489962,15.88381282573107,True,59,30,130.852
320,13,240,40,8,TGSA,0.7500000000000093,185,-1,-1,218.73929616559923,102,156,192.6553483006307,366.1555648262139,173.5002165255832,True,59,11,130.852
320,13,240,40,8,ZGSA,0.7500000000000093,185,196,89,11.648398225793748,102,105,192.6553483006307,189.1276381841991,3.5277101164315923,True,59,59,130.852
320,13,240,40,5,GSA,0.7500000000000341,181,-1,-1,40.97177246841598,104,149,193.33282059848457,176.90318524038958,16.429635358095,True,59,30,132.997
320,13,240,40,5,TGSA,0.7500000000000341,181,-1,-1,218.7392961656081,104,156,193.33282059848457,366.1555648262148,172.82274422773023,True,59,11,132.997
320,13,240,40,5,ZGSA,0.7500000000000341,181,196,89,12.106606761778352,104,105,193.33282059848457,189.12763818418676,4.205182414297809,True,59,59,132.997
320,13,240,40,0,GSA,0.7499999999999819,181,-1,-1,40.996008392356764,103,149,193.03078425014672,176.93243573254557,16.098348517601153,True,59,30,134.323
320,13,240,40,0,TGSA,0.7499999999999819,181,-1,-1,218.73929616559008,103,156,193.03078425014672,366.15556482621366,173.12478057606694,True,59,11,134.323
320,13,240,40,0,ZGSA,0.7499999999999819,181,216,48,12.761449429191998,103,95,193.03078425014672,197.75004479975894,4.7192605496122155,True,59,59,134.323
320,13,240,40,1,GSA,0.7500000000000125,180,-1,-1,41.21440972563857,104,149,193.30841986950958,177.19602568899066,16.11239418051892,True,59,30,135.179
320,13,240,40,1,TGSA,0.7500000000000125,180,-1,-1,218.73929616560082,104,156,193.30841986950958,366.155564826215,172.84714495670545,True,59,11,135.179
320,13,240,40,1,ZGSA,0.7500000000000125,180,199,83,12.011609897833807,104,103,193.30841986950958,190.46546652497153,2.8429533445380457,True,59,59,135.179
320,13,160,40,8,GSA,0.49999999991591015,63,-1,-1,44.91237267516402,141,152,295.2833808144375,253.39781000987975,41.88557080455777,True,32,18,140.694
320,13,160,40,8,TGSA,0.49999999991591015,63,-1,-1,118.90511041774965,141,156,295.2833808144375,366.15556482621423,70.87218401177671,True,32,11,140.694
320,13,160,40,8,ZGSA,0.49999999991591015,63,97,126,85.15124157179743,141,154,295.2833808144375,218.76956484755502,76.5138159668825,True,32,32,140.694
320,13,160,40,7,GSA,0.4999999996231987,64,-1,-1,45.61717420035632,140,152,296.23546972707936,254.159663288799,42.07580643828035,True,32,18,145.165
320,13,160,40,7,TGSA,0.4999999996231987,64,-1,-1,120.64014262484974,140,156,296.23546972707936,366.1555648262138,69.92009509913441,True,32,11,145.165
320,13,160,40,7,ZGSA,0.4999999996231987,64,96,128,87.79102366753972,140,154,296.23546972707936,218.13698397479703,78.09848575228233,True,32,32,145.165
320,13,160,40,3,GSA,0.5000000003231797,64,-1,-1,43.1433369660366,142,152,290.3224349405904,250.30395585777995,40.01847908281047,True,32,18,145.182
320,13,160,40,3,TGSA,0.5000000003231797,64,-1,-1,122.09686311397698,142,156,290.3224349405904,366.15556482621594,75.83312988562551,True,32,11,145.182
320,13,160,40,3,ZGSA,0.5000000003231797,64,99,123,79.95254847639411,142,154,290.3224349405904,220.27424665260105,70.04818828798938,True,32,32,145.182
